entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp,ticker
1,10,9,BUY,180.17,188.53787499999999,188.53787499999999,175.149275,8.367874999999998,4.644433035466503,tp,2024-03-28 01:00:00,AMZN
1,3,2,BUY,480.87,474.74321785714284,491.0813035714286,474.74321785714284,-6.1267821428571665,-1.2741036335926896,sl,2024-03-28 01:00:00,VOO
1,11,10,BUY,614.99,622.83,649.683375,594.173975,7.840000000000032,1.2748174767069436,time,2024-03-28 01:00:00,NFLX
1,5,4,BUY,192.0,183.76212857142858,205.72978571428573,183.76212857142858,-8.237871428571424,-4.290558035714284,sl,2024-03-28 01:00:00,BA
1,11,10,SELL,121.25,115.86998214285715,115.86998214285715,124.47801071428572,5.380017857142846,4.437128129602348,tp,2024-03-28 01:00:00,DIS
1,4,3,BUY,49.89,48.8,51.46964285714286,48.942214285714286,-1.0900000000000034,-2.184806574463827,sl,2024-03-28 01:00:00,CSCO
1,5,4,BUY,61.89,58.42164642857143,67.67058928571429,58.42164642857143,-3.4683535714285725,-5.604061353091893,sl,2024-03-28 01:00:00,TQQQ
1,3,2,BUY,733.85,712.3170928571429,769.7381785714285,712.3170928571429,-21.532907142857084,-2.9342382152833797,sl,2024-03-28 01:00:00,COST
1,11,10,SELL,179.47,163.28,154.59378571428573,194.39572857142858,16.189999999999998,9.021006296316932,time,2024-03-28 01:00:00,AMD
1,3,2,BUY,115.53,119.51680357142858,119.51680357142858,113.13791785714285,3.986803571428581,3.4508816510244795,tp,2024-03-28 01:00:00,XOM
1,11,10,BUY,171.75,176.55,180.93175,166.24095,4.800000000000011,2.7947598253275174,time,2024-03-28 01:00:00,AAPL
1,5,4,BUY,492.84,528.5012857142857,528.5012857142857,471.44322857142856,35.661285714285725,7.235874871010009,tp,2024-03-28 01:00:00,META
1,10,9,BUY,152.0,160.92228571428572,160.92228571428572,146.64662857142858,8.92228571428572,5.869924812030079,tp,2024-03-28 01:00:00,GOOG
1,8,7,BUY,199.49,195.0610785714286,206.87153571428573,195.0610785714286,-4.428921428571414,-2.220122025450606,sl,2024-03-28 01:00:00,JPM
