period,start_date,end_date,starting_capital,period_return,period_profit,total_trades,potential_trades,skipped_trades,winning_trades,losing_trades,win_rate,total_return,avg_win,avg_loss,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,gross_profit,gross_loss,final_capital,initial_capital
2020,2020-01-01,2020-12-31,100000.0,73.31144671505419,73311.44671505419,370,370,0,200,170,54.054054054054056,73.31144671505419,1063.2348828914949,-819.620763901439,1.5261504139468824,-20700.127785754798,-11.723070755880029,3.21462499845819,212646.97657829899,139335.52986324462,173311.4467150542,100000.0
2021,2021-01-01,2021-12-31,173311.4467150542,19.022803895918162,32968.69663778346,386,386,0,186,200,48.18652849740933,19.022803895918162,920.5945022242668,-691.3094038796517,1.2384510933365136,-20736.314608889516,-9.134278102597065,1.5539509741832465,171230.57741371362,138261.88077593033,206280.14335283765,173311.4467150542
2022,2022-01-01,2022-12-31,206280.14335283765,-29.495053016412097,-60842.43764425034,380,380,0,135,245,35.526315789473685,-29.495053016412097,1184.210189700437,-900.8604622604456,0.7243341332158308,-69158.17988669773,-33.526338872280206,-1.8553104867023469,159868.375609559,220710.8132538092,145437.7057085873,206280.14335283765
2023,2023-01-01,2023-12-31,145437.7057085873,43.72740062725637,63596.12823828409,375,375,0,200,175,53.333333333333336,43.72740062725637,846.0091000715001,-603.461095862946,1.6022036044531456,-16353.196711979981,-9.048138941475193,3.086911370338646,169201.82001430003,105605.69177601555,209033.8339468714,145437.7057085873
2024,2024-01-01,2024-12-31,209033.8339468714,16.992107789041754,35519.25437981894,387,387,0,180,207,46.51162790697674,16.992107789041754,1143.2622279780476,-822.5504669383073,1.2086079915648025,-30148.685784145724,-13.089238047494634,1.221448646918431,205787.20103604856,170267.9466562296,244553.08832669034,209033.8339468714
2025 YTD,2025-01-01,2025-11-13,244553.08832669034,40.25223069622958,98438.07328801349,313,313,0,162,151,51.75718849840255,40.25223069622958,1671.1581266993612,-1140.990352564787,1.5713525698564395,-13865.363261061255,-5.669674161930426,3.0232774524733905,270727.61652529653,172289.54323728284,342991.16161470383,244553.08832669034
