config,ticker,accuracy,precision,recall,f1,weights,individual_accuracies
LightGBM Only,AAPL,0.580110497237569,0.2900552486187845,0.5,0.36713286713286714,[1.0],[0.580110497237569]
LightGBM Only,MSFT,0.5478119935170178,0.4982879401878554,0.49882055055401664,0.47483594629472003,[1.0],[0.5478119935170178]
LightGBM Only,GOOGL,0.5949177877428998,0.2974588938714499,0.5,0.37300843486410495,[1.0],[0.5949177877428998]
LightGBM Only,AMZN,0.5777166437414031,0.28885832187070154,0.5,0.36617262423714037,[1.0],[0.5777166437414031]
LightGBM Only,NVDA,0.6193467336683417,0.30967336683417085,0.5,0.382467028704422,[1.0],[0.6193467336683417]
LightGBM Only,META,0.6591375770020534,0.3295687885010267,0.5,0.3972772277227723,[1.0],[0.6591375770020534]
LightGBM Only,TSLA,0.5519379844961241,0.27596899224806204,0.5,0.35564435564435565,[1.0],[0.5519379844961241]
