entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp,ticker
1,3,2,BUY,187.86,178.92405000000002,202.75325,178.92405000000002,-8.935949999999991,-4.756707122325131,sl,2025-04-01 01:00:00,AMZN
1,3,2,BUY,170.0,160.0,184.52276785714287,161.2863392857143,-10.0,-5.88235294117647,sl,2025-04-01 01:00:00,BA
1,4,3,BUY,155.3,148.19177857142859,167.14703571428572,148.19177857142859,-7.108221428571426,-4.577090424064021,sl,2025-04-01 01:00:00,GOOG
1,3,2,BUY,512.36,499.9842285714286,532.9862857142857,499.9842285714286,-12.375771428571397,-2.4154444977303844,sl,2025-04-01 01:00:00,VOO
1,3,2,BUY,56.68,51.05818214285714,66.04969642857142,51.05818214285714,-5.621817857142858,-9.918521272305677,sl,2025-04-01 01:00:00,TQQQ
1,4,3,BUY,50.0,47.94253571428571,53.42910714285714,47.94253571428571,-2.057464285714289,-4.114928571428578,sl,2025-04-01 01:00:00,CMG
1,3,2,BUY,219.805,205.54,233.97460714285714,211.30323571428573,-14.265000000000015,-6.489843270171295,sl,2025-04-01 01:00:00,AAPL
1,3,2,BUY,242.62,233.63783928571428,257.59026785714286,233.63783928571428,-8.982160714285726,-3.7021518070586623,sl,2025-04-01 01:00:00,JPM
1,4,3,BUY,927.5,878.7927500000001,1008.67875,878.7927500000001,-48.70724999999993,-5.2514555256064614,sl,2025-04-01 01:00:00,NFLX
1,3,2,BUY,570.84,536.5888714285715,627.9252142857143,536.5888714285715,-34.25112857142858,-6.000127631460406,sl,2025-04-01 01:00:00,META
1,3,2,BUY,119.22,114.37,124.68955357142858,115.93826785714286,-4.849999999999994,-4.0681093776212,sl,2025-04-01 01:00:00,XOM
1,3,2,BUY,61.38,59.38,63.96846428571429,59.82692142857143,-2.0,-3.2583903551645483,sl,2025-04-01 01:00:00,CSCO
1,5,4,BUY,942.42,887.75,1001.5915,906.9171,-54.66999999999996,-5.801022898495359,sl,2025-04-01 01:00:00,COST
1,4,3,BUY,108.515,98.91,120.98998214285714,101.03001071428571,-9.605000000000004,-8.85131087868037,sl,2025-04-01 01:00:00,NVDA
2,3,1,BUY,96.615,93.66498214285714,101.53169642857142,93.66498214285714,-2.9500178571428535,-3.0533745869097486,sl,2025-04-02 01:00:00,DIS
4,5,1,BUY,90.1,80.68,101.62589285714286,83.18446428571428,-9.419999999999987,-10.455049944506092,sl,2025-04-04 01:00:00,AMD
5,7,2,BUY,36.75,48.326875,48.326875,29.803874999999998,11.576875000000001,31.50170068027211,tp,2025-04-07 01:00:00,TQQQ
5,6,1,BUY,205.77,224.9145,224.9145,194.2833,19.144499999999994,9.303834378189237,tp,2025-04-07 01:00:00,JPM
5,13,8,BUY,100.39,106.97178571428572,106.97178571428572,96.44092857142857,6.581785714285715,6.55621647005251,tp,2025-04-07 01:00:00,XOM
5,7,2,BUY,132.05,152.13898214285715,152.13898214285715,119.99661071428572,20.088982142857134,15.213163303943302,tp,2025-04-07 01:00:00,BA
5,7,2,BUY,485.1,548.4941428571428,548.4941428571428,447.0635142857143,63.39414285714281,13.06826280295667,tp,2025-04-07 01:00:00,META
5,7,2,BUY,177.2,195.37317857142855,195.37317857142855,166.29609285714287,18.173178571428565,10.255744114801674,tp,2025-04-07 01:00:00,AAPL
5,7,2,BUY,80.99,87.75482142857142,87.75482142857142,76.93110714285714,6.764821428571423,8.35266258620993,tp,2025-04-07 01:00:00,DIS
5,5,0,BUY,162.0,181.56730357142857,181.56730357142857,150.25961785714287,19.567303571428567,12.078582451499116,tp,2025-04-07 01:00:00,AMZN
5,7,2,BUY,53.38,56.92025,56.92025,51.25585,3.5402500000000003,6.632165605095541,tp,2025-04-07 01:00:00,CSCO
5,5,0,BUY,449.54,477.30025000000006,477.30025000000006,432.88385,27.760250000000042,6.1752569293055215,tp,2025-04-07 01:00:00,VOO
6,6,0,BUY,153.575,145.40284999999997,167.19525,145.40284999999997,-8.172150000000016,-5.32127624938956,sl,2025-04-08 01:00:00,GOOG
6,7,1,BUY,912.44,855.93,1006.14475,856.2171500000001,-56.510000000000105,-6.193283941957838,sl,2025-04-08 01:00:00,NFLX
6,14,8,BUY,48.14,45.5972,52.378,45.5972,-2.5427999999999997,-5.282093892812629,sl,2025-04-08 01:00:00,CMG
6,6,0,BUY,103.805,94.77286785714287,118.85855357142857,94.77286785714287,-9.032132142857137,-8.701056926792674,sl,2025-04-08 01:00:00,NVDA
7,17,10,BUY,172.115,186.54,196.85996428571428,157.26802142857144,14.424999999999983,8.381024315138124,time,2025-04-09 01:00:00,AMZN
7,8,1,BUY,908.0,986.6859107142857,986.6859107142857,860.7884535714286,78.68591071428568,8.665849197608555,tp,2025-04-09 01:00:00,COST
7,7,0,BUY,453.49,490.9753928571429,490.9753928571429,430.9987642857143,37.48539285714287,8.26598003421087,tp,2025-04-09 01:00:00,VOO
8,14,6,BUY,158.76,148.88035714285712,175.22607142857143,148.88035714285712,-9.87964285714287,-6.2230050750459,sl,2025-04-10 01:00:00,GOOG
8,14,6,BUY,109.37,98.04018928571429,128.25301785714285,98.04018928571429,-11.329810714285713,-10.359157643124908,sl,2025-04-10 01:00:00,NVDA
8,18,10,BUY,230.0,243.55,257.23571428571427,213.65857142857143,13.550000000000011,5.891304347826092,time,2025-04-10 01:00:00,JPM
8,18,10,BUY,91.0,96.645,109.24910714285714,80.05053571428572,5.644999999999996,6.203296703296699,time,2025-04-10 01:00:00,AMD
9,15,6,BUY,920.0,1036.0291785714285,1036.0291785714285,850.3824928571429,116.02917857142847,12.611867236024835,tp,2025-04-11 01:00:00,NFLX
9,14,5,BUY,535.505,482.1242964285714,624.4728392857143,482.1242964285714,-53.38070357142857,-9.968292279517197,sl,2025-04-11 01:00:00,META
9,19,10,BUY,56.67,56.84,62.278107142857145,53.30513571428572,0.1700000000000017,0.2999823539791807,time,2025-04-11 01:00:00,CSCO
9,19,10,BUY,480.69,506.42,529.9756071428571,451.1186357142857,25.730000000000018,5.352722128606798,time,2025-04-11 01:00:00,VOO
9,18,9,BUY,154.62,180.03201785714288,180.03201785714288,139.3727892857143,25.41201785714287,16.435142838664383,tp,2025-04-11 01:00:00,BA
9,19,10,BUY,85.11,90.16,96.41232142857143,78.32860714285714,5.049999999999997,5.933497826342378,time,2025-04-11 01:00:00,DIS
9,19,10,BUY,186.1,210.14,215.46335714285715,168.4819857142857,24.039999999999992,12.917786136485757,time,2025-04-11 01:00:00,AAPL
9,19,10,BUY,45.67,53.82,63.06432142857143,35.233407142857146,8.149999999999999,17.845412743595354,time,2025-04-11 01:00:00,TQQQ
10,20,10,BUY,970.0,991.7,1064.5382857142858,913.2770285714286,21.700000000000045,2.2371134020618606,time,2025-04-14 01:00:00,COST
15,25,10,BUY,106.14,104.71,118.23160714285714,98.88503571428572,-1.4300000000000068,-1.3472771810815969,time,2025-04-22 01:00:00,XOM
16,26,10,BUY,528.525,596.81,617.1779642857142,475.3332214285714,68.28499999999997,12.91991864150229,time,2025-04-23 01:00:00,META
16,26,10,BUY,48.87,51.64,54.86907142857143,45.27055714285714,2.770000000000003,5.668099038264791,time,2025-04-23 01:00:00,CMG
16,26,10,BUY,157.91,152.8,175.15464285714287,147.56321428571428,-5.109999999999985,-3.2360205180165824,time,2025-04-23 01:00:00,GOOG
16,26,10,BUY,104.52,117.06,126.33176785714285,91.43293928571428,12.540000000000006,11.997703788748572,time,2025-04-23 01:00:00,NVDA
17,27,10,BUY,1048.0,1144.43,1182.3264285714286,967.4041428571428,96.43000000000006,9.2013358778626,time,2025-04-24 01:00:00,NFLX
19,29,10,BUY,190.105,208.64,217.28357142857143,173.79785714285714,18.534999999999997,9.749875069040792,time,2025-04-28 01:00:00,AMZN
20,30,10,BUY,242.19,263.01,265.909625,227.958225,20.819999999999993,8.596556422643378,time,2025-04-29 01:00:00,JPM
21,26,5,BUY,89.89,102.42,98.56655357142859,84.68406785714285,12.530000000000001,13.939259094448772,tp,2025-04-30 01:00:00,DIS
21,29,8,BUY,57.1,61.61,61.30357142857143,54.57785714285715,4.509999999999998,7.898423817863394,tp,2025-04-30 01:00:00,CSCO
21,29,8,BUY,51.96,65.85,64.76421428571429,44.27747142857143,13.889999999999993,26.732101616628164,tp,2025-04-30 01:00:00,TQQQ
21,30,9,BUY,503.26,541.133375,541.133375,480.535975,37.87337500000001,7.525608035607839,tp,2025-04-30 01:00:00,VOO
21,26,5,BUY,209.3,195.1472642857143,232.88789285714284,195.1472642857143,-14.152735714285711,-6.7619377516893024,sl,2025-04-30 01:00:00,AAPL
22,32,10,BUY,990.1,1010.47,1057.1850714285715,949.8489571428571,20.370000000000005,2.057367942632058,time,2025-05-01 01:00:00,COST
24,30,6,BUY,184.39,200.295,198.9264107142857,175.66815357142855,15.905000000000001,8.625738922935085,tp,2025-05-05 01:00:00,BA
27,37,10,BUY,105.34,102.97,112.01560714285715,101.33463571428572,-2.3700000000000045,-2.2498576039491214,time,2025-05-08 01:00:00,XOM
28,33,5,BUY,155.55,168.93,168.883,147.55020000000002,13.379999999999995,8.601735776277721,tp,2025-05-09 01:00:00,GOOG
28,31,3,BUY,105.255,113.04962499999999,113.04962499999999,100.578225,7.794624999999996,7.405467673744711,tp,2025-05-09 01:00:00,DIS
28,38,10,BUY,51.27,50.63,55.52191071428572,48.718853571428575,-0.6400000000000006,-1.2482933489370014,time,2025-05-09 01:00:00,CMG
28,30,2,BUY,603.72,657.7143392857143,657.7143392857143,571.3233964285714,53.99433928571432,8.94360618924573,tp,2025-05-09 01:00:00,META
28,38,10,BUY,199.0,195.27,214.58367857142858,189.64979285714287,-3.7299999999999898,-1.8743718592964773,time,2025-05-09 01:00:00,AAPL
29,36,7,BUY,1124.26,1207.5675714285715,1207.5675714285715,1074.2754571428572,83.30757142857146,7.409991588117649,tp,2025-05-12 01:00:00,NFLX
31,32,1,BUY,61.63,64.29114285714286,64.29114285714286,60.03331428571429,2.661142857142856,4.31793421571127,tp,2025-05-14 01:00:00,CSCO
31,41,10,BUY,69.61,70.37,78.303125,64.394125,0.7600000000000051,1.0917971555811021,time,2025-05-14 01:00:00,TQQQ
31,34,3,BUY,211.45,201.64129514285713,227.79784142857142,201.64129514285713,-9.808704857142857,-4.638782150457724,sl,2025-05-14 01:00:00,AMZN
32,42,10,BUY,538.26,541.76,557.688625,526.602825,3.5,0.6502433768067477,time,2025-05-15 01:00:00,VOO
32,37,5,BUY,266.97,259.1247535714286,280.0454107142857,259.1247535714286,-7.845246428571443,-2.9386247250895012,sl,2025-05-15 01:00:00,JPM
32,42,10,BUY,654.275,647.49,707.8507321428572,622.1295607142856,-6.784999999999968,-1.0370257154866025,time,2025-05-15 01:00:00,META
32,38,6,BUY,207.35,199.95,219.64553571428573,199.97267857142856,-7.400000000000006,-3.568844948155296,sl,2025-05-15 01:00:00,BA
33,38,5,BUY,136.22,129.42875,147.53875,129.42875,-6.791249999999991,-4.985501394802519,sl,2025-05-16 01:00:00,NVDA
33,43,10,BUY,111.915,112.95,119.54623214285715,107.33626071428573,1.0349999999999966,0.9248090068355417,time,2025-05-16 01:00:00,DIS
34,44,10,BUY,1018.6,1055.59,1069.1521071428572,988.2687357142858,36.989999999999895,3.631454938150392,time,2025-05-19 01:00:00,COST
34,44,10,BUY,63.43,64.36,66.75810714285714,61.43313571428571,0.9299999999999997,1.466183194072205,time,2025-05-19 01:00:00,CSCO
35,45,10,BUY,167.76,169.39,180.66355357142857,160.01786785714285,1.6299999999999955,0.9716261325703359,time,2025-05-20 01:00:00,GOOG
36,46,10,BUY,201.61,207.91,216.6689485714286,192.57463085714286,6.299999999999983,3.1248449977679593,time,2025-05-21 01:00:00,AMZN
38,46,8,BUY,1184.0,1250.0965357142857,1250.0965357142857,1144.3420785714286,66.09653571428566,5.582477678571425,tp,2025-05-23 01:00:00,NFLX
39,49,10,BUY,262.04,268.6,274.37110714285717,254.64133571428573,6.560000000000002,2.503434590138911,time,2025-05-27 01:00:00,JPM
39,49,10,BUY,103.49,107.22,108.41053803571428,100.53767717857141,3.730000000000004,3.604212967436472,time,2025-05-27 01:00:00,XOM
40,42,2,BUY,51.07,49.39129642857143,53.86783928571429,49.39129642857143,-1.6787035714285707,-3.287063973817448,sl,2025-05-28 01:00:00,CMG
40,44,4,BUY,201.95,213.7910714285714,213.7910714285714,194.84535714285713,11.84107142857141,5.863367877480273,tp,2025-05-28 01:00:00,BA
40,50,10,BUY,200.59,198.78,213.95216071428572,192.57270357142858,-1.8100000000000023,-0.902338102597339,time,2025-05-28 01:00:00,AAPL
43,53,10,BUY,69.2,75.8,77.65594642857143,64.12643214285715,6.599999999999994,9.53757225433525,time,2025-06-02 01:00:00,TQQQ
44,45,1,BUY,49.73,52.29926785714286,52.29926785714286,48.18843928571428,2.5692678571428615,5.166434460371731,tp,2025-06-03 01:00:00,CMG
44,54,10,BUY,671.445,697.23,710.4911250000001,648.017325,25.784999999999968,3.840225185979487,time,2025-06-03 01:00:00,META
44,54,10,BUY,544.53,549.35,560.5664107142857,534.9081535714286,4.82000000000005,0.8851670247736673,time,2025-06-03 01:00:00,VOO
45,49,4,BUY,113.855,118.73114285714286,118.73114285714286,110.92931428571428,4.8761428571428524,4.282765673130607,tp,2025-06-04 01:00:00,DIS
46,56,10,BUY,64.48,66.32,67.38625517857143,62.736246892857146,1.8399999999999892,2.8535980148883207,time,2025-06-05 01:00:00,CSCO
46,46,0,BUY,1050.0,1021.4082321428572,1097.6529464285713,1021.4082321428572,-28.591767857142827,-2.723025510204079,sl,2025-06-05 01:00:00,COST
46,51,5,BUY,212.5,202.17,223.44569642857144,205.93258214285714,-10.330000000000013,-4.861176470588241,sl,2025-06-05 01:00:00,BA
47,57,10,BUY,172.3,165.53870714285716,183.56882142857145,165.53870714285716,-6.761292857142848,-3.9241397894038585,sl,2025-06-06 01:00:00,GOOG
47,48,1,BUY,52.89,51.19468928571428,55.715517857142856,51.19468928571428,-1.6953107142857178,-3.205352078437734,sl,2025-06-06 01:00:00,CMG
48,49,1,BUY,1238.88,1206.9314785714287,1292.1275357142858,1206.9314785714287,-31.94852142857144,-2.578822923008801,sl,2025-06-09 01:00:00,NFLX
48,57,9,BUY,214.75,207.85730714285714,226.23782142857144,207.85730714285714,-6.892692857142862,-3.2096357891235674,sl,2025-06-09 01:00:00,AMZN
48,53,5,BUY,1012.42,983.0313035714286,1061.4011607142857,983.0313035714286,-29.388696428571393,-2.902816659940676,sl,2025-06-09 01:00:00,COST
50,57,7,BUY,50.82,53.75667857142857,53.75667857142857,49.05799285714286,2.9366785714285726,5.778588294822063,tp,2025-06-11 01:00:00,CMG
51,54,3,BUY,108.92,113.95,113.86164285714285,105.95501428571428,5.030000000000001,4.618068307014323,tp,2025-06-12 01:00:00,XOM
51,59,8,BUY,1222.59,1286.84,1283.0634285714284,1186.3059428571428,64.25,5.2552368332801676,tp,2025-06-12 01:00:00,NFLX
51,55,4,BUY,266.86,276.44032142857145,276.44032142857145,261.1118071428572,9.580321428571438,3.590017772828988,tp,2025-06-12 01:00:00,JPM
51,57,6,BUY,118.87,115.63198214285715,124.26669642857144,115.63198214285715,-3.23801785714285,-2.7239992068165644,sl,2025-06-12 01:00:00,DIS
52,62,10,BUY,199.73,205.17,211.0665892857143,192.9280464285714,5.439999999999998,2.7236769639012657,time,2025-06-13 01:00:00,AAPL
53,59,6,BUY,143.345,153.62625,153.62625,137.17624999999998,10.28125,7.172381317799714,tp,2025-06-16 01:00:00,NVDA
53,63,10,BUY,200.57,209.79,214.84676785714285,192.00393928571427,9.219999999999999,4.596898838310814,time,2025-06-16 01:00:00,BA
55,61,6,BUY,73.92,81.0303,80.98583928571429,69.68049642857143,7.110299999999995,9.61891233766233,tp,2025-06-18 01:00:00,TQQQ
55,65,10,BUY,980.0,987.02,1029.8964107142856,950.0621535714286,7.019999999999982,0.716326530612243,time,2025-06-18 01:00:00,COST
56,62,6,BUY,700.75,744.55,738.4758928571429,678.1144642857142,43.799999999999955,6.25044595076703,tp,2025-06-20 01:00:00,META
56,61,5,BUY,551.72,565.2463750000001,565.2463750000001,543.6041749999999,13.52637500000003,2.4516738563039273,tp,2025-06-20 01:00:00,VOO
56,58,2,BUY,113.45,109.25,119.05089285714286,110.08946428571429,-4.200000000000003,-3.702071397091232,sl,2025-06-20 01:00:00,XOM
57,60,3,BUY,275.06,285.82282142857144,285.82282142857144,268.60230714285717,10.762821428571442,3.9128995232209127,tp,2025-06-23 01:00:00,JPM
58,68,10,BUY,67.78,69.27,70.44364803571429,66.18181117857144,1.4899999999999949,2.1982885807022643,time,2025-06-24 01:00:00,CSCO
59,62,3,BUY,168.65,180.785,179.13869642857145,162.35678214285716,12.134999999999991,7.195375037058992,tp,2025-06-25 01:00:00,GOOG
59,69,10,BUY,214.615,222.26,226.17551785714286,207.67868928571428,7.644999999999982,3.5621927637863067,time,2025-06-25 01:00:00,AMZN
59,69,10,BUY,54.93,56.41,58.61125,52.72125,1.4799999999999969,2.6943382486801326,time,2025-06-25 01:00:00,CMG
60,70,10,BUY,108.94,115.39982142857143,115.39982142857143,105.06410714285714,6.459821428571431,5.929705735791656,tp,2025-06-26 01:00:00,XOM
61,67,6,BUY,1306.88,1267.9306464285714,1371.7955892857144,1267.9306464285714,-38.949353571428674,-2.9803312906639223,sl,2025-06-27 01:00:00,NFLX
62,67,5,BUY,290.4,283.4695714285714,301.95071428571424,283.4695714285714,-6.9304285714285925,-2.386511216056678,sl,2025-06-30 01:00:00,JPM
63,73,10,BUY,566.56,573.74,579.9390714285714,558.5325571428571,7.180000000000064,1.2672973736232818,time,2025-07-01 01:00:00,VOO
63,73,10,BUY,82.12,85.07,88.93091071428572,78.03345357142858,2.9499999999999886,3.5923039454456753,time,2025-07-01 01:00:00,TQQQ
64,74,10,BUY,715.325,701.41,753.7375714285715,692.2774571428572,-13.915000000000077,-1.9452696326844547,time,2025-07-02 01:00:00,META
64,74,10,BUY,176.545,184.7,187.83458928571426,169.77124642857143,8.155000000000001,4.619218896032174,time,2025-07-02 01:00:00,GOOG
64,74,10,BUY,208.91,210.02,218.84583928571428,202.94849642857142,1.1100000000000136,0.5313292805514401,time,2025-07-02 01:00:00,AAPL
65,68,3,BUY,211.785,227.24432142857142,227.24432142857142,202.50940714285716,15.459321428571428,7.299535580221181,tp,2025-07-03 01:00:00,BA
67,70,3,BUY,989.5,967.4810594285714,1026.1982342857143,967.4810594285714,-22.01894057142863,-2.2252592795784363,sl,2025-07-08 01:00:00,COST
69,70,1,BUY,1285.5,1241.8536857142856,1358.2438571428572,1241.8536857142856,-43.646314285714425,-3.395279213202211,sl,2025-07-10 01:00:00,NFLX
69,78,9,BUY,283.0,296.52273214285714,296.52273214285714,274.88636071428573,13.522732142857137,4.778350580514889,tp,2025-07-10 01:00:00,JPM
70,80,10,BUY,225.425,233.06,239.96644642857143,216.70013214285714,7.634999999999991,3.386935787956079,time,2025-07-11 01:00:00,BA
70,80,10,BUY,68.29,68.69,70.59607142857143,66.90635714285715,0.3999999999999915,0.5857372968223626,time,2025-07-11 01:00:00,CSCO
71,81,10,BUY,225.07,232.79,236.08424999999997,218.46145,7.719999999999999,3.4300439863153684,time,2025-07-14 01:00:00,AMZN
71,73,2,BUY,55.72,53.71053571428571,59.06910714285714,53.71053571428571,-2.0094642857142873,-3.606360886062971,sl,2025-07-14 01:00:00,CMG
72,75,3,BUY,1262.0,1216.613675,1337.643875,1216.613675,-45.38632499999994,-3.5963807448494407,sl,2025-07-15 01:00:00,NFLX
72,75,3,BUY,113.66,110.45070714285714,119.00882142857142,110.45070714285714,-3.209292857142856,-2.8235904074809572,sl,2025-07-15 01:00:00,XOM
72,73,1,BUY,979.25,957.8845022857142,1014.8591628571429,957.8845022857142,-21.365497714285766,-2.181822590174702,sl,2025-07-15 01:00:00,COST
74,77,3,BUY,172.02,166.1996785714286,181.72053571428572,166.1996785714286,-5.820321428571418,-3.3835143754048467,sl,2025-07-17 01:00:00,NVDA
75,78,3,BUY,959.95,938.9087058571429,995.0188235714286,938.9087058571429,-21.04129414285717,-2.19191563548697,sl,2025-07-18 01:00:00,COST
75,85,10,BUY,87.64,84.13296785714286,93.48505357142857,84.13296785714286,-3.507032142857142,-4.001634120101714,sl,2025-07-18 01:00:00,TQQQ
75,77,2,BUY,54.215,52.17714285714286,57.611428571428576,52.17714285714286,-2.037857142857142,-3.758843756999247,sl,2025-07-18 01:00:00,CMG
75,85,10,BUY,578.47,572.0077857142858,589.2403571428572,572.0077857142858,-6.4622142857142535,-1.1171217670258187,sl,2025-07-18 01:00:00,VOO
76,79,3,BUY,187.1,198.11,196.91716071428573,181.20970357142858,11.01000000000002,5.884553714591139,tp,2025-07-21 01:00:00,GOOG
76,85,9,BUY,212.1,205.99594285714286,222.27342857142855,205.99594285714286,-6.10405714285713,-2.877914730248529,sl,2025-07-21 01:00:00,AAPL
76,84,8,BUY,706.8,775.2,741.5855892857143,685.9286464285714,68.40000000000009,9.677419354838722,tp,2025-07-21 01:00:00,META
77,78,1,BUY,1230.38,1178.7238142857143,1316.473642857143,1178.7238142857143,-51.65618571428581,-4.1983928310185314,sl,2025-07-22 01:00:00,NFLX
78,88,10,BUY,108.93,106.51,113.96364285714287,105.90981428571429,-2.4200000000000017,-2.221610208390711,time,2025-07-23 01:00:00,XOM
79,82,3,BUY,46.2,44.34428571428572,49.292857142857144,44.34428571428572,-1.855714285714285,-4.016697588126158,sl,2025-07-24 01:00:00,CMG
80,88,8,BUY,936.3,969.8548214285714,969.8548214285714,916.167107142857,33.55482142857147,3.5837681756457838,tp,2025-07-25 01:00:00,COST
80,85,5,BUY,296.7,288.28544999999997,310.72425,288.28544999999997,-8.41455000000002,-2.836046511627914,sl,2025-07-25 01:00:00,JPM
80,90,10,BUY,1178.415,1211.64,1260.5549642857143,1129.1310214285713,33.225000000000136,2.8194651290080435,time,2025-07-25 01:00:00,NFLX
81,91,10,BUY,194.41,201.63,205.08876785714287,188.00273928571428,7.219999999999999,3.7138007304151017,time,2025-07-28 01:00:00,GOOG
82,85,3,BUY,68.23,66.95309285714286,70.35817857142857,66.95309285714286,-1.2769071428571408,-1.8714746341156978,sl,2025-07-29 01:00:00,CSCO
82,82,0,BUY,239.5,231.4441857142857,252.92635714285714,231.4441857142857,-8.055814285714291,-3.3635967790038794,sl,2025-07-29 01:00:00,BA
