period,start_date,end_date,starting_capital,ending_capital,period_return,trades,win_rate,profit_factor,sharpe_ratio
2020,2020-01-01,2020-12-31,100000.0,200964.93147670335,100.96493147670336,323,57.27554179566563,1.9064848805538006,4.721322015594915
2021,2021-01-01,2021-12-31,200964.93147670335,252422.51203933224,25.605253704969943,329,49.848024316109424,1.3967902430955412,2.420507217795824
2022,2022-01-01,2022-12-31,252422.51203933224,175146.1125068009,-30.613909555139116,351,35.04273504273504,0.6805038573039608,-2.1296931825546057
2023,2023-01-01,2023-12-31,175146.1125068009,276312.4614937682,57.76111587006477,348,55.45977011494253,1.929288242801831,4.4304254777255485
2024,2024-01-01,2024-12-31,276312.4614937682,334317.72940561414,20.992635510633367,360,46.666666666666664,1.2909403794176089,1.6071436759026976
2025 YTD,2025-01-01,2025-11-13,334317.72940561414,482810.5727718066,44.416682187390705,278,53.23741007194245,1.7439557389517637,3.6951783308716233
